Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2022,20.6,29.4,24.0,79,0.4,3.2,3.0,260.0,2.0,W 
02-03-2022,21.6,30.4,25.1,70,0,2.1,3.0,230.0,2.0,W 
03-03-2022,21.8,30.4,24.6,74,0,7.5,3.0,230.0,1.0,C 
04-03-2022,21.9,30.4,25.1,72,8888,4.9,5.0,260.0,3.0,W 
05-03-2022,20.6,30.2,23.6,82,3.6,4.7,4.0,270.0,2.0,SW
06-03-2022,21.0,29.6,24.2,76,14.4,4.4,4.0,250.0,2.0,W 
07-03-2022,21.6,29.8,24.1,80,0.2,5.2,3.0,240.0,1.0,SW
08-03-2022,20.4,29.6,23.1,88,15,1.3,2.0,70.0,1.0,C 
09-03-2022,20.0,29.2,22.8,86,13.6,3.6,3.0,300.0,1.0,C 
10-03-2022,20.4,30.6,23.9,83,31.5,2.4,5.0,240.0,1.0,C 
11-03-2022,20.6,30.6,23.8,82,9.6,5.8,2.0,300.0,1.0,W 
12-03-2022,20.6,28.8,23.3,84,1.8,6.5,7.0,290.0,2.0,W 
13-03-2022,20.0,30.8,23.9,84,10.2,3.9,5.0,210.0,2.0,W 
14-03-2022,19.7,30.8,23.7,81,47,7.4,2.0,90.0,1.0,E 
15-03-2022,19.8,27.2,23.7,84,16,6.0,2.0,90.0,1.0,C 
16-03-2022,19.9,30.6,22.9,86,0.2,0.1,3.0,270.0,1.0,C 
17-03-2022,19.6,30.5,24.5,80,-,4.0,3.0,220.0,1.0,SW
18-03-2022,21.8,28.8,23.5,84,0.6,5.0,3.0,250.0,1.0,C 
19-03-2022,20.0,30.4,23.6,83,17,3.2,3.0,210.0,1.0,C 
20-03-2022,20.2,31.4,24.3,77,29,4.9,7.0,230.0,2.0,SW
21-03-2022,22.0,28.4,24.5,72,-,5.8,4.0,250.0,1.0,W 
22-03-2022,21.8,30.2,24.7,-,0,1.9,3.0,260.0,2.0,W 
23-03-2022,22.0,30.2,24.8,72,8888,4.2,4.0,270.0,2.0,W 
24-03-2022,21.0,31.4,24.6,75,8888,4.0,5.0,280.0,2.0,W 
25-03-2022,21.6,31.0,25.3,72,-,8.4,2.0,250.0,1.0,C 
26-03-2022,21.8,28.4,24.2,80,0,5.8,3.0,270.0,1.0,C 
27-03-2022,20.6,31.2,24.6,74,0.8,1.8,4.0,260.0,2.0,W 
28-03-2022,20.8,29.6,24.4,78,27.8,9.0,4.0,280.0,2.0,W 
29-03-2022,18.8,30.6,23.6,69,0.2,4.3,2.0,260.0,1.0,C 
30-03-2022,19.4,31.4,25.2,66,0,8.6,3.0,250.0,1.0,W 
31-03-2022,21.2,31.2,24.7,79,0,7.5,3.0,240.0,1.0,SW
